METABOLITE,REACTION,CONCENTRATION (M)
4hpro_LT[e],EX_4hpro_LT[e],0
Lcystin[e],EX_Lcystin[e],7.83E-05
aqcobal[e],EX_aqcobal[e],3.94E-07
arg_L[e],EX_arg_L[e],5.48E-04
asn_L[e],EX_asn_L[e],1.37E-04
asp_L[e],EX_asp_L[e],1.37E-04
btn[e],EX_btn[e],1.12E-08
ca2[e],EX_ca2[e],8.24E-04
chol[e],EX_chol[e],5.03E-05
cl[e],EX_cl[e],1.01E-01
fol[e],EX_fol[e],4.71E-06
glc_D[e],EX_glc_D[e],0.00E+00
gln_L[e],EX_gln_L[e],2.94E-03
glu_L[e],EX_glu_L[e],1.37E-04
gly[e],EX_gly[e],2.94E-04
gthrd[e],EX_gthrd[e],6.38E-06
hco3[e],EX_hco3[e],1.80E-02
his_L[e],EX_his_L[e],1.18E-04
ile_L[e],EX_ile_L[e],3.26E-04
inost[e],EX_inost[e],5.49E-05
k[e],EX_k[e],3.26E-03
leu_L[e],EX_leu_L[e],3.54E-04
lys_L[e],EX_lys_L[e],3.91E-04
met_L[e],EX_met_L[e],9.06E-05
na1[e],EX_na1[e],1.14E-01
ncam[e],EX_ncam[e],1.30E-05
phe_L[e],EX_phe_L[e],1.69E-04
pi[e],EX_pi[e],1.00E-04
pnto_R[e],EX_pnto_R[e],3.69E-06
pro_L[e],EX_pro_L[e],2.16E-04
pydxn[e],EX_pydxn[e],7.62E-06
ribflv[e],EX_ribflv[e],4.56E-07
ser_L[e],EX_ser_L[e],2.94E-04
so4[e],EX_so4[e],3.20E-04
thm[e],EX_thm[e],2.42E-05
thr_L[e],EX_thr_L[e],3.52E-04
trp_L[e],EX_trp_L[e],3.46E-05
tyr_L[e],EX_tyr_L[e],1.68E-04
val_L[e],EX_val_L[e],3.55E-04
cys_L[e],EX_cys_L[e],7.83E-05
